Zip Code,EDU Rank,Unemployment Rank,Income Rank,Blended Poverty Rank,Total Population (18+)
78701,24.0,27.0,24.0,22.0,7098
78702,7.0,4.0,9.0,7.0,18003
78703,28.0,26.0,22.0,22.0,16739
78704,15.0,24.0,13.0,12.0,39370
78705,11.0,2.0,1.0,1.0,31595
78721,3.0,1.0,4.0,4.25,9363
78722,16.0,22.5,14.0,12.5,6158
78723,9.0,7.0,8.0,6.5,24442
78727,13.0,20.5,16.0,19.5,23944
78730,22.0,19.0,25.0,25.5,6855
78731,26.0,20.5,20.0,19.0,21915
78732,23.0,14.0,28.0,28.0,10620
78733,25.0,18.0,26.0,26.5,6144
78735,17.0,17.0,23.0,18.5,13116
78741,6.0,3.0,3.0,2.0,42237
78742,1.0,15.0,2.0,8.0,613
78744,2.0,5.0,6.0,5.5,32628
78745,10.0,10.0,12.0,14.0,50423
78746,27.0,22.5,27.0,23.0,20723
78749,18.0,13.0,21.0,21.5,28895
78750,14.0,6.0,19.0,18.0,22894
78751,20.0,8.5,11.0,13.0,13205
78752,5.0,8.5,5.0,3.25,14975
78753,4.0,11.0,7.0,8.0,40862
78756,21.0,28.0,17.0,20.0,7523
78757,12.0,25.0,15.0,13.5,19211
78758,8.0,12.0,10.0,9.5,36167
78759,19.0,16.0,18.0,22.5,33961
