Zip Code,< $10K,"10K - 14,999","15K - 24,999","25K - 34,999","35K - 49,000","50K - 74,999","75K - 99,999","100K - 149,999","150K - 199,999",> 200K,Income Score,Income Rank
78701,4.1,1.5,5.4,4.3,8.1,13.8,11.7,17.4,9.3,24.4,712.5999999999999,24.0
78702,12.3,6.1,12.6,8.8,11.7,17.7,9.7,12.0,5.7,3.5,512.4,9.0
78703,5.5,2.0,6.3,5.6,9.8,14.0,9.4,14.8,7.6,25.0,686.4,22.0
78704,7.7,3.8,7.6,9.8,12.1,19.0,12.0,14.0,6.1,8.1,583.7,13.0
78705,40.3,12.5,12.0,5.7,8.1,9.5,4.3,3.1,1.7,2.8,319.8,1.0
78721,16.6,8.2,10.5,12.0,13.7,17.3,13.4,6.6,1.2,0.5,447.20000000000005,4.0
78722,4.2,4.0,9.8,6.6,15.6,20.3,10.4,20.0,4.7,4.4,586.9,14.0
78723,10.2,6.3,13.1,11.8,13.8,15.5,10.8,10.0,4.4,4.0,506.50000000000006,8.0
78727,3.4,0.9,5.9,8.4,10.8,22.3,17.4,17.7,8.2,5.0,631.5,16.0
78730,2.2,1.7,1.8,3.8,10.4,19.0,8.1,14.7,6.1,32.2,743.4,25.0
78731,6.1,1.8,5.7,7.8,9.0,16.2,9.3,16.2,8.2,19.7,665.7,20.0
78732,0.5,0.0,4.3,1.4,6.1,11.1,6.9,23.4,16.9,29.5,798.7,28.0
78733,2.2,2.5,4.2,7.3,5.5,9.2,6.8,17.5,8.4,36.3,757.9,26.0
78735,3.4,3.9,5.0,5.6,4.9,16.8,12.4,17.1,11.2,19.7,695.3,23.0
78741,13.9,6.8,16.0,13.3,18.0,15.6,7.7,6.0,1.8,0.9,439.3999999999999,3.0
78742,20.4,5.7,9.6,13.2,16.4,11.4,12.9,10.4,0.0,0.0,437.29999999999995,2.0
78744,7.5,5.4,12.0,13.8,16.2,21.8,13.6,6.9,2.3,0.6,498.4,6.0
78745,5.5,3.7,7.7,9.2,17.2,21.3,15.9,13.0,3.8,2.6,562.1,12.0
78746,2.1,1.1,3.1,2.7,6.0,11.4,11.6,17.3,10.2,34.4,778.2,27.0
78749,2.6,1.8,2.9,3.8,12.0,17.6,16.0,24.7,11.0,7.6,680.3,21.0
78750,2.8,1.5,6.0,8.2,10.2,19.0,13.3,15.5,9.8,13.6,662.9,19.0
78751,10.4,2.6,11.4,12.6,11.2,18.2,9.4,11.0,6.4,6.9,545.8,11.0
78752,11.1,7.5,15.3,12.4,15.8,17.9,8.9,7.6,2.1,1.4,464.0,5.0
78753,6.6,5.3,15.6,15.2,15.1,17.9,10.7,9.2,2.5,2.0,498.69999999999993,7.0
78756,5.8,1.9,5.8,7.7,8.9,22.9,10.4,16.0,7.1,13.4,638.4,17.0
78757,4.3,4.6,9.9,7.5,11.7,19.1,11.9,16.1,6.9,7.9,599.5,15.0
78758,6.5,4.8,12.1,11.7,17.3,20.8,10.5,10.7,3.3,2.1,520.3,10.0
78759,4.0,2.0,5.6,7.3,13.3,18.2,12.9,17.2,8.5,11.0,644.1,18.0
