,a1,b1,c1,d1,e1,f1,g1
1,ZCTA5 78610,2625,203,14.9,241,74,5.6
2,ZCTA5 78613,5125,193,10.1,324,485,1.3
3,ZCTA5 78617,3103,344,8.7,170,175,19.3
4,ZCTA5 78641,3467,158,9.1,261,241,3.9
5,ZCTA5 78652,313,43,16.4,49,100,4.8
6,ZCTA5 78653,1445,230,13.9,185,65,10.0
7,ZCTA5 78660,5824,309,6.6,304,671,4.5
8,ZCTA5 78664,5656,367,8.8,418,392,4.7
9,ZCTA5 78681,3914,150,8.7,298,475,2.1
10,ZCTA5 78701,528,30,5.0,122,280,2.1
11,ZCTA5 78702,1759,107,9.0,114,357,12.7
12,ZCTA5 78703,915,37,6.1,105,486,0.9
13,ZCTA5 78704,4750,115,6.0,289,1272,3.5
14,ZCTA5 78705,24954,50,2.1,1049,1804,2.0
15,ZCTA5 78712,838,13,7.3,133,0,0.0
16,ZCTA5 78717,1454,72,12.4,161,418,1.0
17,ZCTA5 78719,57,10,42.8,13,5,22.1
18,ZCTA5 78721,1142,112,15.3,66,145,18.0
19,ZCTA5 78722,571,20,13.0,70,191,2.0
20,ZCTA5 78723,2919,146,11.2,189,472,11.1
21,ZCTA5 78724,2507,219,9.9,205,14,21.8
22,ZCTA5 78725,403,96,17.2,123,18,9.4
23,ZCTA5 78726,1572,58,20.4,140,379,1.1
24,ZCTA5 78727,2267,89,14.5,102,262,1.5
25,ZCTA5 78728,1562,95,9.3,103,307,2.9
26,ZCTA5 78729,3060,193,13.2,228,550,1.0
27,ZCTA5 78730,306,46,36.7,121,41,0.3
28,ZCTA5 78731,1893,54,9.3,155,715,1.2
29,ZCTA5 78732,355,42,31.0,56,50,1.2
30,ZCTA5 78733,341,46,19.9,35,52,0.5
31,ZCTA5 78734,834,106,12.9,153,63,2.8
32,ZCTA5 78735,825,44,16.4,105,224,2.3
33,ZCTA5 78736,407,102,32.4,53,0,0.7
34,ZCTA5 78737,627,109,18.1,85,59,1.7
35,ZCTA5 78738,505,60,16.9,44,125,0.4
36,ZCTA5 78739,404,47,12.9,59,77,0.0
37,ZCTA5 78741,12567,378,3.5,768,1604,14.4
38,ZCTA5 78742,100,27,43.1,9,0,18.3
39,ZCTA5 78744,4949,283,7.2,195,207,19.3
40,ZCTA5 78745,4415,153,6.7,264,911,5.5
41,ZCTA5 78746,1064,64,9.3,75,375,0.2
42,ZCTA5 78747,1800,168,14.1,136,191,8.9
43,ZCTA5 78748,3802,174,8.9,233,519,2.5
44,ZCTA5 78749,2193,71,9.8,241,501,0.8
45,ZCTA5 78750,2092,134,8.8,134,357,2.1
46,ZCTA5 78751,2929,45,2.5,218,1167,1.6
47,ZCTA5 78752,1778,152,14.1,189,298,17.2
48,ZCTA5 78753,5287,350,8.0,264,413,15.7
49,ZCTA5 78754,1566,119,14.6,102,181,7.1
50,ZCTA5 78756,656,19,12.4,220,246,1.4
51,ZCTA5 78757,1277,198,15.3,291,126,4.1
52,ZCTA5 78758,4233,234,7.3,251,528,10.4
53,ZCTA5 78759,2019,64,7.4,125,822,1.1
